"Source:","G:\My Drive\gotogen\kicad\gotogen matrixportal\gotogen matrixportal.kicad_sch"
"Date:","11/30/2022 8:03:47 PM"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","5"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","J1","HUB75 Out","gotogen symbols:HUB75 Panel Input","gotogen footprints:HUB75 Oversize - Socket",""
"","","J2","HUB75 In","gotogen symbols:HUB75 Panel Output","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","U1","MatrixPortal_M4","gotogen symbols:MatrixPortal_M4","gotogen footprints:MatrixPortal M4",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","J1","HUB75 Out","gotogen symbols:HUB75 Panel Input","gotogen footprints:HUB75 Oversize - Socket",""
"2","1","J2","HUB75 In","gotogen symbols:HUB75 Panel Output","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"3","2","SW1, SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"4","1","U1","MatrixPortal_M4","gotogen symbols:MatrixPortal_M4","gotogen footprints:MatrixPortal M4",""
